timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-18T17:18:07.015+02:00,37.3862,6,move:named:Down,1,0,6.32,-36.65,74.35,-66.18,-7.55,1.05,160.1,-62.6,302.2,-118.5,-2.65,-90.82
2026-02-18T17:18:08.552+02:00,38.9238,6,move:named:Down,1,0,4.13,-21.53,41.48,-66.18,-4.48,1.66,153.4,-62.3,285.6,-136.08,-2.07,-90.17
2026-02-18T17:18:10.090+02:00,40.4617,6,move:named:Down,1,0,3.95,-21.53,40.6,-66.18,-3.6,1.66,154.0,-60.8,283.8,-137.0,-1.5,-89.72
2026-02-18T17:18:11.629+02:00,41.9998,6,move:named:Down,1,0,3.95,-21.53,40.6,-66.18,-3.07,1.66,153.9,-59.6,283.8,-137.03,-1.11,-89.36
2026-02-18T17:18:14.684+02:00,45.0556,7,move:home,1,0,8.08,-50.71,98.17,-65.39,-4.83,1.58,165.9,-51.3,298.6,-107.77,0.0,-87.08
2026-02-18T17:18:16.222+02:00,46.5938,7,move:home,1,0,10.1,-65.91,130.86,-65.3,-8.17,0.7,150.3,-55.7,291.3,-90.17,0.67,-88.06
2026-02-18T17:18:17.760+02:00,48.1317,7,move:home,1,0,10.1,-65.91,131.92,-65.3,-8.87,0.52,148.6,-57.5,291.8,-89.3,0.63,-88.76
2026-02-18T17:18:19.298+02:00,49.6695,7,move:home,1,0,10.1,-65.91,131.92,-65.39,-9.22,0.43,148.7,-58.3,291.6,-89.39,0.53,-89.11
2026-02-18T17:18:22.356+02:00,52.7277,8,move:named:Left,1,0,59.58,-8.26,94.57,-87.09,-32.43,0.43,126.5,-43.2,320.0,-90.74,-0.03,-62.84
2026-02-18T17:18:23.894+02:00,54.2657,8,move:named:Left,1,0,87.8,25.31,73.91,-98.78,-45.7,0.52,151.2,-60.6,291.1,-89.57,0.96,-47.71
2026-02-18T17:18:27.949+02:00,58.3205,9,move:home,1,0,33.83,-47.81,131.83,-84.11,-35.77,0.35,149.5,-64.4,290.2,-90.07,0.3,-91.93
2026-02-18T17:18:29.487+02:00,59.8584,9,move:home,1,0,33.83,-47.81,131.83,-84.11,-35.59,0.35,149.5,-64.0,290.2,-90.07,0.3,-91.75
2026-02-18T17:18:31.025+02:00,61.3966,9,move:home,1,0,33.83,-47.81,131.83,-84.11,-35.24,0.26,149.6,-63.2,290.2,-90.07,0.21,-91.4
2026-02-18T17:18:32.563+02:00,62.9348,9,move:home,1,0,33.75,-47.81,131.83,-84.11,-34.71,0.26,149.5,-62.3,290.2,-90.07,0.21,-90.96
2026-02-18T17:18:36.619+02:00,66.9902,10,move:named:Right,1,0,79.8,-70.13,131.3,-59.5,-111.97,0.0,171.7,-60.5,288.6,-90.63,1.54,-122.26
2026-02-18T17:18:38.155+02:00,68.5265,10,move:named:Right,1,0,91.23,-75.05,131.04,-53.26,-134.64,-0.08,154.1,-61.3,284.1,-91.91,1.85,-133.44
2026-02-18T17:18:39.693+02:00,70.0646,10,move:named:Right,1,0,91.23,-75.05,131.04,-53.52,-135.52,-0.08,152.7,-62.4,284.5,-91.75,1.63,-134.32
2026-02-18T17:18:41.231+02:00,71.6027,10,move:named:Right,1,0,91.23,-75.05,131.04,-53.96,-135.96,-0.08,152.0,-62.5,285.2,-91.45,1.31,-134.75
2026-02-18T17:18:42.770+02:00,73.1409,10,move:named:Right,1,0,91.23,-75.05,131.04,-54.14,-136.31,-0.08,151.5,-62.8,285.4,-91.33,1.18,-135.1
2026-02-18T17:18:44.322+02:00,74.6934,10,move:named:Right:near_target,1,0,91.23,-75.05,131.04,-54.22,-136.66,-0.08,150.9,-63.3,285.5,-91.27,1.11,-135.45
2026-02-18T17:18:50.386+02:00,80.7575,11,move:home,1,0,33.83,-48.42,131.92,-85.25,-36.65,-0.08,152.0,-64.6,287.2,-91.41,-1.13,-92.79
2026-02-18T17:18:51.924+02:00,82.2956,11,move:home,1,0,33.75,-48.42,131.92,-84.9,-35.85,-0.08,151.6,-63.4,287.8,-91.13,-0.91,-92.09
2026-02-18T17:18:53.462+02:00,83.8333,11,move:home,1,0,33.75,-48.42,131.92,-84.63,-35.24,-0.08,151.3,-62.2,288.3,-90.93,-0.74,-91.48
2026-02-18T17:18:55.000+02:00,85.3714,11,move:home,1,0,33.75,-48.42,131.92,-84.46,-34.71,-0.08,151.2,-61.2,288.6,-90.79,-0.63,-90.96
2026-02-18T17:19:01.070+02:00,91.4416,12,move:named:UP,1,0,89.03,-72.59,141.85,21.09,-43.94,-87.62,149.5,-62.5,288.2,-43.91,1.99,-89.25
2026-02-18T17:19:02.608+02:00,92.9797,12,move:named:UP,1,0,89.03,-72.59,141.85,21.0,-44.2,-87.71,149.9,-62.4,287.9,-44.17,1.85,-89.32
2026-02-18T17:19:04.146+02:00,94.5174,12,move:named:UP,1,0,89.03,-72.59,141.85,20.47,-44.38,-87.71,150.2,-61.6,288.3,-44.36,1.33,-89.33
2026-02-18T17:19:05.684+02:00,96.0557,12,move:named:UP,1,0,89.03,-72.59,141.85,20.21,-44.56,-87.71,150.5,-61.2,288.4,-44.55,1.07,-89.33
