timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-18T17:28:00.834+02:00,26.5772,6,move:named:Down,1,0,3.95,-21.44,40.6,-66.18,-4.39,1.66,153.8,-62.5,284.2,-136.88,-2.07,-90.26
2026-02-18T17:28:02.372+02:00,28.115,6,move:named:Down,1,0,3.95,-21.44,40.6,-66.18,-3.6,1.66,153.7,-60.8,284.1,-136.92,-1.49,-89.72
2026-02-18T17:28:03.910+02:00,29.653,6,move:named:Down,1,0,3.95,-21.44,40.6,-66.18,-3.07,1.66,153.7,-59.6,284.0,-136.94,-1.11,-89.36
2026-02-18T17:28:06.964+02:00,32.7066,7,move:home,1,0,10.1,-66.09,131.92,-65.21,-8.34,0.7,149.0,-56.3,291.6,-89.39,0.79,-88.23
2026-02-18T17:28:08.502+02:00,34.245,7,move:home,1,0,10.1,-66.09,131.92,-65.39,-8.96,0.52,149.2,-57.6,291.2,-89.56,0.59,-88.85
2026-02-18T17:28:11.556+02:00,37.299,8,move:named:Left,1,0,88.68,27.42,73.82,-98.78,-44.64,0.7,150.2,-62.4,289.3,-88.24,2.43,-45.91
2026-02-18T17:28:13.094+02:00,38.8368,8,move:named:Left,1,0,88.68,27.42,73.82,-99.05,-44.64,0.7,150.2,-62.0,288.9,-88.43,2.24,-45.92
2026-02-18T17:28:16.148+02:00,41.8912,9,move:home,1,0,33.83,-47.9,131.92,-84.55,-35.77,0.35,150.1,-64.0,289.3,-90.42,0.04,-91.93
2026-02-18T17:28:17.686+02:00,43.4291,9,move:home,1,0,33.83,-47.9,131.92,-84.46,-35.15,0.35,150.0,-62.7,289.4,-90.35,0.09,-91.31
2026-02-18T17:28:20.741+02:00,46.4841,10,move:named:Right,1,0,91.23,-75.14,130.95,-53.52,-135.7,-0.08,152.4,-62.2,284.8,-91.63,1.5,-134.49
2026-02-18T17:28:22.279+02:00,48.0222,10,move:named:Right,1,0,91.23,-75.14,130.95,-53.87,-136.14,-0.08,151.8,-62.5,285.4,-91.39,1.25,-134.92
2026-02-18T17:28:23.817+02:00,49.5598,10,move:named:Right,1,0,91.23,-75.14,130.95,-54.05,-136.49,-0.08,151.2,-62.8,285.6,-91.27,1.12,-135.27
2026-02-18T17:28:25.356+02:00,51.0987,10,move:named:Right,1,0,91.23,-75.14,130.95,-54.22,-136.66,-0.08,150.9,-62.8,285.9,-91.15,0.99,-135.44
2026-02-18T17:28:26.893+02:00,52.6364,10,move:named:Right,1,0,91.23,-75.14,130.95,-54.22,-136.84,-0.08,150.6,-63.1,285.9,-91.15,0.99,-135.62
2026-02-18T17:28:28.431+02:00,54.174,10,move:named:Right,1,0,91.23,-75.14,130.95,-54.31,-136.84,-0.08,150.6,-63.0,286.1,-91.09,0.93,-135.62
2026-02-18T17:28:29.983+02:00,55.7261,10,move:named:Right:near_target,1,0,91.23,-75.14,130.95,-54.4,-136.93,-0.08,150.5,-63.0,286.2,-91.02,0.87,-135.71
2026-02-18T17:28:33.038+02:00,58.7807,11,move:home,1,0,33.92,-48.42,131.92,-85.16,-36.38,-0.08,152.0,-63.9,287.4,-91.34,-1.07,-92.44
2026-02-18T17:28:34.576+02:00,60.3193,11,move:home,1,0,33.83,-48.42,131.92,-84.81,-35.77,-0.08,151.6,-63.0,288.0,-91.06,-0.85,-91.92
2026-02-18T17:28:36.114+02:00,61.8567,11,move:home,1,0,33.83,-48.42,131.92,-84.55,-35.15,-0.08,151.3,-61.9,288.4,-90.86,-0.69,-91.31
2026-02-18T17:28:39.163+02:00,64.9061,12,move:named:UP,1,0,88.85,-72.59,141.85,20.91,-43.68,-87.62,148.9,-62.7,288.8,-43.65,1.81,-89.42
2026-02-18T17:28:40.701+02:00,66.4441,12,move:named:UP,1,0,88.85,-72.59,141.85,20.83,-44.03,-87.71,149.4,-62.6,288.4,-44.0,1.67,-89.49
2026-02-18T17:28:42.239+02:00,67.9824,12,move:named:UP,1,0,88.85,-72.59,141.85,20.3,-44.91,-87.71,150.8,-61.8,287.7,-44.9,1.17,-89.52
2026-02-18T17:28:43.778+02:00,69.5205,12,move:named:UP,1,0,88.85,-72.59,141.85,20.12,-44.91,-87.71,150.8,-61.5,287.9,-44.9,0.99,-89.52
